a,b,c,d,e,f,g,h,i,j,k,l,m
0,-0.025727952,-0.023989907,-0.022216396,-0.02429886,-0.005082218,-0.004970138,0.059935447,0.058051273,-0.061355818,-0.061867731,-0.056965872,-0.051364654
0.01,-0.027414181,-0.026999431,-0.024166769,-0.02508125,-0.004229748,-0.004394686,0.062214423,0.060422818,-0.052919649,-0.051544187,-0.065901404,-0.063511371
0.02,-0.028446038,-0.028058882,-0.025499033,-0.026868116,-0.003369939,-0.003599766,0.063020717,0.061474158,-0.043315366,-0.041667607,-0.07354806,-0.070144237
0.03,-0.02882498,-0.028660255,-0.026030797,-0.0281312,-0.002362844,-0.002316597,0.06234244,0.061343223,-0.033140696,-0.032840135,-7.96E-02,-0.076511759
0.04,-0.028561695,-0.028626223,-0.026060924,-0.02833007,-0.001390812,-0.001474383,0.060164271,0.059718448,-0.022173508,-0.022000105,-0.083962885,-0.081401833
0.05,-0.027661631,-0.027877951,-0.02561572,-0.028079788,-0.000331361,-0.000308845,0.056594745,0.057033064,-0.011697057,-0.013197653,-0.085765372,-0.084040998
0.06,-0.026208689,-0.026834765,-0.024483656,-0.026639978,0.000786884,0.000807898,0.051861869,0.052368595,-0.0009635,-0.001265814,-0.085811678,-0.084559759
0.07,-0.023945248,-0.023819747,-0.022635292,-0.024659778,0.00173467,0.00203665,0.045725747,0.044603922,0.011232826,0.009871791,-0.083890444,-0.083498548
0.08,-0.021402085,-0.022850976,-0.020548191,-0.023584963,0.002747901,0.002799942,0.038650895,0.038007232,0.022744781,0.02149082,-0.079797307,-0.079253963
0.09,-0.018628896,-0.019981914,-0.018064379,-0.020402404,0.003833058,0.003475473,0.030487839,0.030201275,0.03299039,0.033083241,-0.073697105,-0.074333633
0.1,-0.014993708,-0.014561878,-0.014744577,-0.014669386,0.004772604,0.004538443,0.022013946,0.022965876,0.04292967,0.04098593,-0.065956679,-0.066552051
0.11,-0.01155988,-0.012298866,-0.011783504,-0.013775932,0.005514009,0.005738528,0.012881604,0.012080228,0.051894557,0.048858149,-0.057035523,-0.057066301
0.12,-0.007575062,-0.007534361,-0.008207154,-0.008323924,0.006128171,0.00600353,0.002549992,0.002067649,0.059614555,0.056454938,-0.045441471,-0.042953633
0.13,-0.003726113,-0.003816734,-0.004775342,-0.005416838,0.006670278,0.006559756,-0.006655091,-0.007298153,0.066047522,0.063804834,-0.033745838,-0.033786959
0.14,0.000261881,0.000602474,-0.001121873,-0.000730526,0.007071794,0.006782014,-0.015527624,-0.015921348,0.070945536,0.068450248,-0.021266271,-0.021448754
0.15,0.004583113,0.004624757,0.002489625,0.00354616,0.007291306,0.007262408,-0.024467019,-0.023659027,0.074321,0.071190865,-0.009247957,-0.010301966
0.16,0.009280884,0.0085537,0.006620913,0.006934284,0.007287786,0.007364719,-0.033428644,-0.031313451,0.07577141,0.073180807,0.003042954,0.002947417
0.17,0.013681724,0.012266435,0.010510331,0.011565407,0.007122348,0.007215459,-0.041530589,-0.038624552,0.075364186,0.073509324,0.016790499,0.015313946
0.18,0.01747338,0.017010598,0.014294949,0.014325036,0.006753963,0.006914279,-0.048371595,-0.046180185,0.073384244,0.072285421,0.029261912,0.02880005
0.19,0.021143844,0.019514622,0.017398501,0.019144386,0.006227391,0.006331618,-0.054540032,-0.050976618,0.069119488,0.067347925,0.040498222,0.040533749
0.2,0.023601434,0.024621978,0.020550032,0.020034922,0.005590528,0.006092579,-0.058947567,-0.057695616,0.063516804,0.061926773,0.051452922,0.049796382
0.21,0.026011989,0.024546961,0.022687259,0.024686945,0.004936283,0.005447089,-0.062275094,-0.059047964,0.056490232,0.055572598,0.061003088,0.059218961
0.22,0.027636678,0.027691326,0.024153977,0.026619338,0.004051283,0.004235418,-0.063767604,-0.062070921,0.048275119,0.049721778,0.06941059,0.065837194
0.23,0.028447392,0.028700094,0.025205145,0.027603858,0.003019169,0.002869508,-0.063818673,-0.062501877,0.038927814,0.039181984,0.07627447,0.072587048
0.24,0.028821141,0.029104185,0.025893035,0.028169354,0.001974953,0.002144196,-0.062454781,-0.061606062,0.0286262,0.028769648,0.08163185,0.077604624
0.25,0.028646562,0.02913341,0.025897842,0.028548811,0.001009014,0.001245076,-0.059509286,-0.059298418,0.018199445,0.018630297,0.084552754,0.082453414
0.26,0.027941592,0.028669882,0.025332819,0.028210338,-4.98E-05,-8.61E-06,-0.055312251,-0.055928791,0.00611015,0.005351303,0.085568732,0.083994418
0.27,0.026714127,0.027878566,0.024276372,0.027255472,-0.00114392,-0.001123507,-0.049525203,-0.049994972,-0.005440558,-0.005824625,0.084548205,0.083713838
0.28,0.024359748,0.023936577,0.022867032,0.026400598,-0.00212239,-0.002239049,-0.042636561,-0.042731593,-0.016133131,-0.016653454,0.081604985,0.081785523
0.29,0.022023437,0.024255352,0.020724183,0.023222931,-0.003170168,-0.002881491,-0.034942912,-0.034695953,-0.027008737,-0.026796925,0.076129202,0.074662992
0.3,0.018827789,0.018937325,0.017611962,0.018177761,-0.004139926,-0.003983429,-0.026143121,-0.025902684,-0.037807783,-0.035350468,0.069186915,0.068749643
0.31,0.015015361,0.015313725,0.014387732,0.016291288,-0.005045998,-0.004532144,-0.017369422,-0.018441723,-0.047699941,-0.046148226,0.060686974,0.061451203
0.32,0.010838368,0.010537204,0.010504666,0.010713967,-0.005829761,-0.005467913,-0.008714728,-0.009436453,-0.056956094,-0.051985528,0.051055097,0.05262622
0.33,0.00623398,0.006322446,0.006355439,0.006654261,-0.006407487,-0.006270602,0.000350924,0.00015238,-0.064498723,-0.059118445,0.040064262,0.040735108
0.34,0.001348798,0.001489148,0.002136732,0.002643908,-0.006913888,-0.006517751,0.010919858,0.009429561,-0.069765123,-0.06752423,0.028364338,0.02908209
0.35,-0.002813218,-0.002527643,-0.001645612,-0.00120504,-0.007299397,-0.006771982,0.020501266,0.018604647,-0.073572486,-0.071766841,0.016016692,0.016066466
0.36,-0.006926182,-0.006743775,-0.00537753,-0.005278737,-0.007436811,-0.007321255,0.029111243,0.028061215,-0.075828761,-0.073954837,0.002209367,0.001829559
0.37,-0.011080473,-0.010254164,-0.009001517,-0.009262911,-0.007376859,-0.007409575,0.037096072,0.036436273,-0.07634632,-0.074745295,-0.010005284,-0.010999984
0.38,-0.01467562,-0.015116687,-0.012470149,-0.013515822,-0.007162926,-0.007256067,0.044555446,0.041422049,-0.07515941,-0.074219625,-0.022268687,-0.02285642
0.39,-0.018356855,-0.01643642,-0.015433711,-0.017471415,-6.68E-03,-0.006818631,0.050681611,0.048168256,-0.072177437,-0.071517761,-0.034871293,-0.032760939
0.4,-0.021303723,-0.021575103,-0.018689699,-0.018081371,-0.006151497,-0.006485694,0.055566407,0.05376815,-0.067590774,-0.067010062,-0.046629711,-0.044753374
0.41,-0.023918941,-0.023183527,-0.021094675,-0.022559887,-0.005403997,-0.00548362,0.05916709,0.058065478,-0.061440361,-0.062741144,-0.058046137,-0.051546787
0.42,-0.026225512,-0.024872589,-0.023281941,-0.02360582,-0.004551527,-0.004649174,0.061885348,0.059407312,-0.05317963,-0.052288253,-0.066828462,-0.065278496
0.43,-0.027702916,-0.027188173,-0.02505516,-0.025685755,-0.003730557,-0.004326108,0.062855836,0.061421973,-0.043678645,-0.042429354,-0.074390145,-0.071186007
0.44,-0.028549035,-0.028260842,-0.026107187,-0.027643639,-0.002847573,-0.003290131,0.062608558,0.061552436,-0.033609289,-0.033520429,-0.080413486,-0.076645783
0.45,-0.028801806,-0.028698192,-0.026666459,-0.028096224,-0.001883266,-0.002216947,0.060673419,0.060050484,-0.022648753,-0.02246578,-0.084287067,-0.081747602
0.46,-0.028497064,-0.028615709,-0.026608524,-0.028306467,-0.000915224,-0.001038106,0.057422324,0.057815282,-0.012182301,-0.013566167,-0.085997888,-0.084130262
0.47,-0.027559107,-0.02781332,-0.025929903,-0.027799336,0.00035404,0.000333039,0.052660352,0.052028062,-0.00151758,-0.001917956,-0.0857855,-0.084496244
0.48,-0.026018875,-0.026644135,-0.024572319,-0.026307642,0.001452759,0.001463086,0.046862789,0.04618355,0.010867831,0.009297283,-0.083679472,-0.083293928
0.49,-0.023566134,-0.02304461,-0.022413806,-0.023677446,0.002579973,0.002449839,0.039985047,0.039484121,0.022273013,0.021101577,-0.079162761,-0.078020748
0.5,-0.020921819,-0.022450147,-0.020168175,-0.022683956,0.003655389,0.00329879,0.032054292,0.031321451,0.032693845,0.032072756,-0.072697736,-0.07299579
0.51,-0.017759216,-0.01824174,-0.017473907,-0.019581477,0.004639309,0.004281981,0.023516284,0.024162871,0.042659132,0.040811651,-0.065045887,-0.065883945
0.52,-0.014168618,-0.015138145,-0.014063811,-0.014491588,0.005355437,0.005581157,0.014527021,0.014718105,0.051640154,0.048800857,-0.055685021,-0.055172147
0.53,-0.010444424,-0.010880685,-0.010893096,-0.012278444,0.005953634,0.006117985,0.004076405,0.003399011,0.059205915,0.056541283,-0.04406788,-0.042394232
0.54,-0.006445358,-0.006767078,-0.007128047,-0.007040626,0.006545995,0.006248362,-0.005351667,-0.005817703,0.065611803,0.063670809,-0.032169944,-0.032137336
0.55,-0.002403634,-0.002126427,-0.003625554,-0.00383515,0.006974934,0.006977193,-0.014370326,-0.014845289,0.070382959,0.06861058,-0.019636174,-0.020129794
0.56,0.001705467,0.00209022,0.000123273,0.00073808,0.007316711,0.007001011,-0.023137759,-0.022905777,0.073970639,0.070480445,-0.007686912,-0.008627838
0.57,0.006445639,0.005934276,0.003905488,0.005251058,0.007436188,0.007337596,-0.031924204,-0.030223616,0.075372297,0.073239172,0.004718584,0.004639526
0.58,0.010978229,0.01061222,0.008073941,0.008437136,0.007303966,0.007358367,-0.040108976,-0.038986758,0.075155145,0.073567431,0.018559855,0.016774398
0.59,0.015087802,0.014894013,0.011986533,0.012154892,0.006937983,0.006814244,-0.047086925,-0.046281894,0.073182541,0.072267311,0.030600184,0.031088425
0.6,0.018992927,0.017065315,0.015528036,0.01642042,0.006466558,0.006772573,-0.053320421,-0.050570939,0.069229824,0.068080146,0.042024678,0.040969468
0.61,0.02206721,0.022321372,0.0187354,0.018911012,0.005822828,0.005717928,-0.058304309,-0.054970663,0.063667909,0.0620838,0.052735619,0.050870081
0.62,0.024395411,0.024991436,0.021668749,0.02188762,0.005244759,0.006008122,-0.061603555,-0.058881667,0.056816389,0.056168349,0.062343892,0.059510614
0.63,0.026733825,0.025061173,0.023562089,0.025753349,0.004503611,0.004794819,-0.063714346,-0.061495898,0.048650114,0.049734695,0.070395326,0.067211214
0.64,0.028076432,0.027989459,0.025107771,0.026220911,0.003567026,0.003800385,-0.064215039,-0.062451452,0.039291436,0.039532259,0.077178525,0.073759109
0.65,0.028784363,0.028821244,0.026416388,0.027355808,0.002512167,0.002572233,-0.063199534,-0.061979125,0.028980853,0.029038212,0.082124089,0.079121424
0.66,0.029078419,0.029124999,0.027027803,0.028344792,0.001467565,0.001612904,-0.060445098,-0.059191559,0.018714601,0.019312651,0.084877795,0.082369944
0.67,0.028757584,0.029046206,0.026739884,0.028398179,0.000405925,0.000449855,-0.056693267,-0.057448896,0.006379959,0.005423529,0.085532168,0.084092222
0.68,0.027965753,0.028530063,0.025587521,0.027243842,-0.00088175,-0.000704611,-0.050917591,-0.049737995,-0.005074576,-0.005511,0.084410104,0.08371122
0.69,0.026339819,0.026773796,0.0240654,0.026047748,-0.00194575,-0.001932333,-0.04404899,-0.042607396,-0.015861562,-0.016446774,0.081137465,0.08116398
0.7,0.023761852,0.02327671,0.022466589,0.025789484,-0.002943103,-0.003029206,-0.0364295,-0.035552629,-0.026810254,-0.026383006,0.07562456,0.074743286
0.71,0.021287954,0.023184871,0.019970761,0.02170317,-0.003842566,-0.004010079,-0.02779622,-0.026428955,-0.037732123,-0.035140698,0.068396629,0.067649895
0.72,0.017708127,0.016668219,0.016562081,0.01704162,-0.004584143,-0.005192225,-0.018951968,-0.020322273,-0.047649516,-0.045910132,0.059680737,0.061048013
0.73,0.013817465,0.014319462,0.013124476,0.014266542,-0.005420219,-0.004894865,-0.010333366,-0.011622346,-0.057017678,-0.051581566,0.049835614,0.051473514
0.74,0.009256079,0.008392381,0.009105969,0.009690093,-0.006156303,-0.005754845,-0.001424913,-0.001725338,-0.064322942,-0.059818694,0.038715733,0.039201742
0.75,0.004433253,0.004143419,0.004859195,0.005099267,-0.006741755,-0.006274421,0.008821083,0.00751558,-0.069614447,-0.067556288,0.026970877,0.02798659
0.76,-8.83E-06,0.000296144,0.000821763,0.001502532,-0.007204768,-0.006875623,0.01881362,0.016962148,-0.073657416,-0.071431286,0.014493069,0.01446654
0.77,-0.004293025,-0.004146066,-0.003057269,-0.002846681,-0.007412436,-0.00727804,0.027186061,0.026818773,-0.076058529,-0.073811114,0.000736898,0.000454079
0.78,-0.008313678,-0.008662348,-0.006703357,-0.007382018,-0.007423079,-0.007412107,0.035055362,0.03467919,-0.076692475,-0.074747612,-0.011288196,-0.012526053
0.79,-0.012382224,-0.011683975,-0.01053308,-0.010104996,-7.36E-03,-0.007409489,0.042646142,0.041098339,-0.075614956,-0.074342019,-0.023667642,-0.023740262
0.8,-0.0156934,-0.016547442,-0.0138449,-0.014953615,-0.007070014,-0.007159465,0.048945771,0.04885842,-0.072749499,-0.071728732,-0.03623304,-0.033871759
0.81,-0.019337642,-0.01740592,-0.01723989,-0.016163055,-0.006555674,-0.00672602,0.05407982,0.054092204,-0.068283213,-0.068050458,-0.048045188,-0.045838918
0.82,-0.022014702,-0.022406245,-0.020168175,-0.020955197,-0.005914347,-0.00605079,0.058328868,0.055997345,-0.062451361,-0.064208119,-0.059159919,-0.053136371
0.83,-0.0246997,-0.022710471,-0.022586755,-0.023190099,-0.005121529,-0.005361998,0.061268569,0.058717319,-0.054307059,-0.054508049,-0.067755476,-0.067528118
0.84,-0.026798003,-0.025721069,-0.024926414,-0.024311992,-0.00426438,-0.004534161,0.062746273,0.061013033,-0.044441336,-0.042042644,-0.075225407,-0.071421055
0.85,-0.028195799,-0.027302757,-0.026398582,-0.026823699,-0.003421652,-0.003910044,0.062691341,0.061582433,-0.034303316,-0.033746765,-0.08105404,-0.077553657
0.86,-0.028972609,-2.83E-02,-0.027204232,-0.027886497,-0.002418077,-0.002368954,0.061203595,0.060658595,-0.023172835,-0.022717564,-0.084722315,-0.082262114
0.87,-0.029116504,-0.028719135,-0.027301692,-0.028336164,-0.001379954,-0.001406749,0.057933703,0.057235967,-0.012811311,-0.014293454,-0.086092816,-0.084316687
0.88,-0.028630145,-0.02849267,-0.026822156,-0.028063737,-0.000233814,-0.000205119,0.053547412,0.053358824,-0.001952141,-0.002327583,-0.085777646,-0.084517187
0.89,-0.027469671,-0.027477851,-0.025844416,-0.027361771,0.00093932,0.000966685,0.04788911,0.047809998,0.010498888,0.008921301,-0.083246242,-0.082752251
0.9,-0.025697825,-0.026061817,-0.02416737,-0.025122105,0.001945513,0.002046993,0.041209079,0.042286922,0.022138559,0.020437634,-0.078672324,-0.077383112
0.91,-0.022972872,-0.022147551,-0.021796941,-0.022448136,0.002958487,0.003094384,0.033240128,0.032404334,0.032514459,0.032436593,-0.072200261,-0.072673024
0.92,-0.020221141,-0.02149292,-0.019380507,-0.021457306,0.003973477,0.003562205,0.025173417,0.026208817,0.042564718,0.040129898,-0.064402371,-0.065229486
0.93,-0.016641271,-0.015800929,-0.016184129,-0.01605435,0.004827793,0.00498502,0.01608944,0.016511065,0.051505615,0.048840253,-0.054741269,-0.054676131
0.94,-0.013125174,-0.014756799,-0.013087744,-0.015575673,0.005490664,0.005654285,0.005845762,0.005159613,0.059144289,0.05636121,-0.04286964,-0.040541962
0.95,-0.009198292,-0.008953057,-0.009727215,-0.010665943,0.00607796,0.006293337,-0.003772554,-0.004062336,0.065572664,0.063674972,-0.03082326,-0.031134747
0.96,-0.005338099,-0.005792771,-0.005947661,-0.005968558,0.006656073,0.006314065,-0.01251707,-0.013723138,0.07066045,0.067919428,-0.018334209,-0.019108795
0.97,-0.001191833,-0.000951791,-0.002191753,-0.001735817,0.007052525,0.006951744,-0.021414494,-0.021721657,0.074332029,0.070586317,-0.006439448,-0.00719468
0.98,0.003060348,0.003573246,0.001619387,0.002346419,0.007294653,0.007136237,-0.030037002,-0.028751963,0.076032421,0.073051374,0.006363186,0.006055905
0.99,0.007791378,0.007240705,0.005639268,0.006003965,0.007308901,0.007359397,-0.03813796,-0.037292374,0.075916077,0.073579233,0.019999107,0.018320938
